Metabolite,Chemical Formula,Metabolism,HMDB ID,Column,Ion Mode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48, QC 01, QC 02, QC 03
Betaine,C5H11NO2,Carboxylic acids,HMDB0000043,C18,Positive,326872.4452,1290690.693,2229001.078,152810.9769,776943.9183,1278631.418,149983.3853,888393.0987,1322441.948,156638.1678,803090.4988,1364508.391,272871.3018,1249980.844,2372403.444,258555.666,636655.2498,1156415.38,66552.34387,754428.1557,800866.0544,137138.4565,1003337.331,1558286.975,153986.7922,1667091.817,3286642.047,325461.3917,2376619.109,3155044.066,334219.4497,2259242.708,3343696.283,550591.3435,2613184.092,3799295.374,408138.9143,2205103.548,4510245.28,395253.068,2135383.586,4000053.751,552051.9227,2130977.723,3186872.566,241633.3133,2932782.053,3562093.841,1676714.104,1777228.65,1746813.481
Glucosamine,C6H13NO5,sugar,HMDB0001514,C18,Positive,8857.993311,49258.4119,78744.35387,8520.115691,51686.8274,74498.22902,8377.04666,48721.93764,63063.90976,8879.513403,41261.0584,68223.22632,8686.237363,59193.31599,63522.17347,8174.624759,45654.9799,69919.54904,9530.910478,50491.11271,69820.45626,7921.287794,47862.06919,65409.4787,9456.258578,63547.00631,94152.08132,10598.55131,67249.45812,92710.0438,8552.480182,64514.52933,80895.40812,10423.16075,57937.38223,82347.04698,10029.19334,70367.20421,88073.4485,9386.749133,57309.71129,82872.88299,10017.86372,59525.05968,86226.43885,10167.94362,64099.79576,89954.56263,51308.87306,53561.97703,52615.49307
Methylhistidine,C7H11N3O2,Amino acid,HMDB0000479,C18,Positive,381525.1765,1519327.042,2448012.981,336487.6532,1559151.401,2341860.884,363210.522,1513925.918,2045226.941,320236.7416,1244224.643,2158531.597,367372.561,1498282.649,2257769.368,353215.7855,1329900.231,2129402.227,356911.0545,1478381.326,1953780.967,363142.5374,1583512.459,2157288.699,339870.9598,1349564.917,2110483.521,373558.8606,1402675.937,1810754.522,330834.7621,1466091.524,1990362.262,387028.9008,1401882.463,2099444.59,370032,1419054.763,1947271.622,376216.8673,1408285.163,1974761.649,379583.0308,1278362.257,1752186.365,302237.5182,1353756.686,1945745.008,1500238.733,1488977.988,1504035.632
Cytidine diphosphate choline (CDPcholine),C14H26N4O11P2,Choline,HMDB0001413,C18,Positive,30071.91939,145691.5313,229116.1418,29883.30609,127230.3014,181613.8437,35209.60705,195471.4133,211261.5518,18141.41662,125343.7765,195286.51,24470.76051,122660.8642,223057.4171,22017.66244,96980.30821,190967.7728,38038.20477,147306.4755,218625.3702,36150.72766,141758.5335,213705.5272,22487.57668,162874.9909,315364.6728,24862.51227,187868.452,262062.1204,18288.51001,154287.0797,263097.85,36187.25237,162300.5059,217374.1238,20024.4429,147167.1831,247253.1558,43297.55415,169544.7,268047.8196,38094.53106,150418.1861,225882.7187,35258.46022,215390.1152,272507.2176,164967.2139,159498.0641,156342.6442
Aminocyclopropanecarboxylic acid,C4H7NO2,Amino acid,HMDB0036458,C18,Positive,24415.71058,69600.04579,69077.21592,26284.13706,54853.82484,59280.2031,28713.59575,64845.3659,81570.97372,23669.52241,61781.04163,90938.60669,28268.8379,58398.20723,63445.45967,25252.44837,61576.28258,67288.60456,27176.58065,67399.35821,75628.73835,26170.32795,71650.81926,66513.08565,27521.15667,77621.28026,88998.06691,31066.2615,88853.82721,84196.75293,28727.74482,84875.49595,94896.14702,36994.87443,94885.568,87739.79903,28132.80929,78169.75363,80235.66269,36254.47104,68904.57587,97158.36791,29997.97211,78806.65002,84646.95546,39192.20577,98005.82673,92582.61957,80542.64622,77759.94599,77765.67547
arginine,C6H14N4O2,Amino acid,HMDB0003416,C18,Positive,3725531.83,9708890.455,12732466.34,3785359.217,9953428.155,15295219.73,4043464.245,8507912.448,13636285.52,3930391.529,7522661.527,12044831.11,3347040.993,8976350.575,12857547.68,3861068.164,8473095.018,12142264.39,3921238.22,9449978.381,12678476.3,4005669.383,8828367.12,15150198.56,4610238.369,10768829.77,15865333.89,5073971.947,9519354.109,14089876.98,4565660.615,9157364.481,13523996.7,4034183.674,9299911.906,14993489.48,4646108.389,10005295.2,13359206.04,4497272.755,10372863.24,15181879.63,4041522.006,10063394.41,14819388.68,4600895.441,9432083.599,14520205.96,9243755.816,9553499.914,9321572.687
Pipecolate,C6H11NO2,Amino acid,HMDB00070,C18,Positive,157879.4065,452924.8235,478395.1455,156008.5941,388691.4861,610646.7109,222967.7971,347937.5674,477023.6094,228437.1132,301396.0947,552809.4466,115444.5569,403573.2434,460481.9649,186638.2592,378217.7,444643.1981,181426.5303,434783.2694,465370.0443,181909.7572,395446.8396,599342.6052,233173.2219,390520.9051,526449.0368,212807.7883,441450.3004,495332.4985,193798.5684,330524.6563,524469.8689,157110.7908,365676.6448,446752.3816,193915.8725,437750.6406,406331.2574,179943.3124,370057.2922,537206.9455,162898.7236,367783.2155,539097.6165,215890.0791,407761.8277,528677.5952,387348.8676,398336.1481,435802.996
"N6,N6,N6-Trimethyl-L-lysine",C9H20N2O2,Amino acid,HMDB0001325,C18,Positive,9959.970877,39720.17206,48452.21136,7899.685685,31802.10041,48535.36826,11302.95442,29999.31267,49136.33267,11229.95495,20832.94692,39457.46601,5234.054158,29459.8568,42860.39192,8225.781664,21981.92419,28926.40625,11509.50262,28689.84468,41776.59349,11598.61103,29456.09433,40552.60838,16905.94208,75018.94789,120759.3216,22775.75202,67771.2337,100351.2606,22634.82803,58821.71052,90723.7289,17463.77504,57218.54588,102311.5145,23876.428,59254.45069,82930.74536,17047.68599,62851.19873,93592.72666,16669.55065,58232.24572,88611.79806,20220.87937,59582.10529,105224.1461,52077.26363,50382.76132,45299.83524
Guanosine 5'diphosphate,C10H15N5O11P2,Nucleotide,HMDB0001201,C18,Positive,3793.642327,10894.93125,18299.45572,10086.03759,12232.88811,27248.89417,14992.7188,16136.61372,19619.00159,8883.209535,13750.47536,15433.05636,11108.43829,13988.21704,15625.71025,9017.033916,11583.91965,15287.39153,10628.48329,26410.8379,16815.49749,15664.18025,12279.88098,16438.41375,9323.124548,17977.02795,21207.89342,12726.13027,14886.17831,19994.99074,3920.412781,16989.54284,17666.50834,12915.68488,15659.43943,16739.42489,10001.55253,15733.58739,17717.55042,12949.62756,15491.25103,18572.48657,10918.04527,16247.59611,17437.40639,11107.62537,15076.97,19619.86071,15532.83921,12399.60697,13378.58317
N-alpha-Acetyl-L-lysine,C8H16N2O3,Amino acid,HMDB0000446,C18,Positive,2639.567396,17185.05963,27964.7375,3252.788024,14485.71779,26692.88489,3406.363632,16646.71184,26961.19301,5010.015643,11462.51298,26635.59373,2854.145544,17594.17016,27366.84994,3044.305252,16936.91423,23796.70374,3361.465528,16630.53594,22665.05965,3059.524605,14263.07133,35832.64884,4205.51748,18803.05318,34405.47299,4422.283776,19633.335,34025.72527,4639.688768,17271.23346,29640.75138,3895.16524,20476.50783,31322.52849,4523.23579,19941.58891,31262.92247,3726.009805,17062.20537,29265.85538,3963.16828,19697.12347,34961.33186,5077.601185,17091.56931,32859.33302,18322.58116,17963.36787,18785.53862
Spermidine,C7H19N3,Amines,HMDB0001257,C18,Positive,35785.57708,177756.7725,412223.3625,43067.24767,203228.4897,426690.7793,42823.24266,201794.8292,394216.7673,45709.68732,171870.6372,424368.6626,41560.72235,159320.8245,339155.7546,44679.23322,147020.1056,322679.5955,39309.54859,182688.0555,321013.7584,39860.15521,171708.7115,495256.6438,75348.38278,269251.8625,590940.6839,64748.23186,286509.99,577284.2418,62853.86538,300732.8057,567036.4301,61461.21157,291479.0566,603000.0348,73349.28756,295941.9214,550298.2834,83387.04599,254327.9059,562493.8181,47370.0904,253741.1161,509900.1898,79126.75185,271569.2529,547160.7001,251184.7136,253366.3674,257132.2944
Spermine,C10H26N4,Amines,HMDB0001256,C18,Positive,596.5476067,6404.460424,9920.252377,1639.173555,5736.809859,9266.705523,1618.712481,7840.154476,13011.50964,531.229233,8408.942827,12896.7634,1102.929158,4343.963604,10564.82973,717.5277037,4508.29793,7998.847853,938.2492668,5947.696665,8759.684144,966.7717865,4873.003408,17559.63945,1537.786563,6854.604216,13444.07844,843.9935695,5298.251694,11220.81217,1506.190548,11860.96168,12160.94565,2473.928387,5709.864913,15382.4758,1442.912249,7289.18663,9786.239592,4892.126348,6127.174697,12332.92917,868.6336428,4843.998179,10770.36522,2783.528682,6687.452412,9222.350636,6300.052572,6364.591894,6633.447585
Ethyl 3-ureidopropionate,C6H12N2O3,Amino acid,N/A,C18,Positive,1201.476251,4091.249219,5694.159892,1949.797248,3599.971011,7167.152359,844.294651,4077.032053,5083.539805,1479.281933,4942.121467,4291.897955,1931.376417,4067.711878,5520.262192,2169.229768,3368.622584,6223.337801,1254.533784,5120.539485,3227.200628,1913.322214,4810.213522,7516.16474,2588.170922,10277.82957,20097.26592,3213.796888,10886.87788,13509.14467,2579.601855,12404.94173,16660.97575,4672.810102,9085.614892,14098.56315,2823.741098,6517.167816,10815.88219,2355.937834,8379.629912,14234.95851,2865.097552,10635.8702,13131.35761,3006.626398,13649.69741,18935.3164,8236.399143,7080.952165,7099.059862
Thiamine monophosphate,C12H17N4O4PS,Pyrimidine,HMDB0002666,C18,Positive,13935.31626,47007.12429,92654.78831,15994.02581,55740.83246,89636.32429,13087.96321,60586.08131,85668.41433,11342.87436,49541.53895,88213.24634,11551.98541,48234.76044,91343.8821,12488.5521,48811.48389,89765.47959,13413.08617,58787.45887,76850.46791,12272.28539,55168.74482,93653.30368,11510.38178,64184.16708,130929.9499,13978.68215,73068.10748,112977.777,13765.15006,68409.35184,112165.6229,17388.49729,82600.62445,111700.4117,16374.81168,68691.78696,116299.1345,16014.85009,68616.75584,115765.338,14854.21175,71065.49972,100055.2793,17977.40843,81650.07898,112143.6931,60115.89033,68952.09136,65232.58486
Riboflavin,C17H20N4O6,Vitamins,HMDB00244,C18,Positive,91051.97381,847503.5392,1835226.514,87442.0676,1023379.608,2076941.549,128909.1688,1374838.837,2067612.873,75660.5924,860116.1102,2285163.724,65204.02192,799980.438,1725218.702,101141.6511,671744.7879,1774573.9,102355.6916,1220326.743,2336006.918,73249.51499,711161.4166,1764838.244,78736.91783,773978.4673,1927137.704,104238.2419,1341319.113,2201405.747,108486.5785,1148862.825,2338486.705,132060.4028,1077956.831,1961307.834,79813.23451,1070101.805,1964297.886,128462.6297,1102925.957,2217501.382,101142.8176,1045965.499,1969362.534,107047.3295,962119.1189,1751275.538,1049886.178,1059679.227,1043054.652
Guanosine disphosphate mannose,C16H25N5O16P2,Nucleotide,HMDB0001163,C18,Positive,3539.554975,9195.044076,12967.84168,4976.584426,9968.510403,10416.1898,3816.287718,13527.75339,11124.92834,2867.980257,9878.834283,13893.13866,3199.015945,8326.777633,13704.10494,2630.318959,8482.683712,11661.11415,4941.879288,10278.54882,13491.42566,3641.829426,9759.203477,13002.51763,2663.785076,10735.20995,16008.73809,3569.049428,12339.91465,14953.58464,2918.265096,12219.76824,14865.73995,4897.538897,12098.29027,14968.71778,3401.38608,13900.15732,16182.76043,4968.789548,12226.64084,14431.27806,5064.831262,10871.50499,14507.21598,3563.444813,14092.54787,14365.6823,11264.06023,11213.13808,9756.4196
5'-Deoxyadenosine,C10H13N5O3,Nucleotide,HMDB0001983,C18,Positive,73042.06385,212843.6251,278263.0946,48862.30224,187117.9379,243762.7884,58789.75783,256529.2076,279480.0771,62692.35293,182039.3223,233415.1259,61750.09956,207182.6249,247876.3622,60979.90315,169854.2028,278071.4577,55070.6847,215782.6149,271978.5395,61082.29482,220120.8752,255305.7061,29092.48415,107875.9583,103602.6595,26278.91964,157338.1877,115630.3197,29558.50344,134123.8317,124454.6518,38825.61767,112600.0893,134401.7907,36843.31833,111725.8948,130111.5668,34029.79903,130876.7994,112872.5189,38896.09265,114955.3895,103903.0798,26434.45724,122062.3238,139876.422,169327.8532,148980.2001,138393.0369
Adenosine,C10H13N5O4,Nucleotide,HMDB00050,C18,Positive,57260.13645,324913.1092,569512.9683,72365.58175,362275.3423,542494.2947,68728.52319,404368.0889,599551.8352,52208.2171,351914.6534,650928.118,59165.21361,312686.3,545140.1638,66261.37363,291737.5081,578981.3081,51992.12876,331886.3658,504728.5954,59056.37586,318345.6544,495990.8869,38927.1491,199062.7521,365231.9473,36862.9593,239847.6186,405004.5895,40411.63328,248225.4808,419747.4783,55163.13503,234682.2038,391506.8815,44823.20774,224166.1161,378811.4208,81829.18944,245034.5697,417012.0565,50745.3663,223965.814,373137.8296,64768.46936,247073.1456,340765.7463,318817.4333,302771.7149,314139.4289
Adenosine diphosphate ribose,C15H23N5O14P2,Nucleotide,HMDB0001178,C18,Positive,4231.75087,13070.50142,21782.10741,3597.065644,17408.07874,20352.5844,4834.485444,25445.17801,25241.87674,4837.796534,15771.18781,22310.01655,5323.243566,15293.18137,21228.16515,4520.503543,11811.34623,16882.22372,4993.487991,14980.59736,16449.23752,4409.144864,14921.80777,20593.95047,3726.684915,9141.421345,14800.15921,4643.622496,8848.244975,12946.71626,3800.439689,9511.548877,12309.5702,4446.161879,12054.84504,14809.2246,4061.960181,8575.624263,14664.94818,3312.398757,9763.83076,15435.93077,4306.584696,10682.04474,12811.45583,3574.050817,11638.27457,13148.15452,13633.32095,13075.87641,14439.12088
Ophthalmic acid,C11H19N3O6,Amino acid,HMDB0005765,C18,Positive,10458.55354,36738.89134,67996.3887,5631.848092,31298.81121,43652.70989,4256.427264,20894.55026,41733.20412,5735.740462,18072.64274,39924.10412,7294.482068,28129.04748,44689.36883,6527.94106,21373.30455,49456.20901,4638.323012,30692.57543,25201.10378,5089.759376,26435.09094,46864.61371,3373.131573,26072.65633,48959.09076,5853.567294,35929.31393,53458.8296,4900.666398,28388.46547,58009.86193,8629.361331,44176.49746,54992.72809,8905.370626,43203.969,77882.52739,6559.416656,33033.62337,53161.00945,5552.528263,31592.14429,44087.63016,5647.927419,41230.48275,53729.87884,37620.10301,31247.00672,36548.61525
Epinephrine,C9H13NO3,Benzenoids,HMDB0000068,C18,Positive,3068.515448,20024.53219,46725.94332,2968.947465,25007.5385,53200.54611,4255.615648,29769.82365,52530.11195,4159.417879,23292.598,49177.6189,2472.03496,23289.94051,44592.98777,2987.248688,21377.74514,40552.07233,3595.390166,28866.3585,48496.68125,3660.576735,25415.62027,55020.84557,3376.182786,28108.35729,53726.76211,4298.153204,30686.346,49651.45152,3733.821798,30174.00779,54344.50611,4208.619979,33317.92019,49475.33132,3671.364804,26135.40929,52346.21409,3261.533121,28430.34091,53138.46898,3833.638056,25567.86804,50410.35863,4260.81405,33537.55886,56585.38774,26620.07851,29794.50776,29387.40415
3-Hyroxykynurenine,C10H12N2O4,Amino acid,HMDB0011631,C18,Positive,71244.01289,598324.5053,1149095.932,84895.90053,656156.4445,1178216.968,108295.8086,700236.4977,1113338.19,87411.91103,504206.4893,1248250.74,102997.0609,725677.3514,1188364.406,72906.51101,642126.7987,1094024.316,92307.99266,728739.5999,1077222.639,99914.98407,690103.3699,1380172.028,94191.4387,683592.61,1120905.858,114673.7532,764963.9722,1284202.436,86351.65645,711311.7444,1125822.088,104205.6484,790677.4886,1201089.064,88946.60423,820390.3376,1193168.734,103897.3823,640506.4211,1099563.154,106594.6429,703784.4114,1189504.975,109370.5227,693030.3686,1078081.454,702072.6676,711758.7113,686289.2394
Lumichrome,C12H10N4O2,Flavins,HMDB0254199,C18,Positive,2432.473799,8700.006013,12064.95613,2755.862604,9493.467518,13761.22771,3651.208407,14669.10184,25514.2284,2138.859147,7007.959931,11525.70393,1917.607477,7121.774834,11765.11865,3294.341691,7227.527791,11727.86774,2592.467784,9378.196315,15968.44013,1919.147313,6046.489776,12709.92385,3764.70412,11126.36482,19116.98285,3678.76214,14177.55486,17854.0205,4124.831166,13645.48524,19907.58808,4884.990066,15421.69126,19786.32329,3531.246209,14385.61979,17477.61829,4555.159408,13602.77873,20115.45115,3634.426442,13152.52809,18225.87047,3495.454908,13350.42326,20019.40644,10076.62067,10460.9872,10471.7465
2-hydroxypyridine,C5H5NO,Pyrimidine,HMDB0013751,C18,Positive,660.5216085,4662.098244,8587.747599,301.2485708,6924.644093,4043.696592,558.5444951,3599.326487,4295.664952,430.1842908,1345.744594,3413.570064,640.8077378,2185.699987,3619.192266,665.3442916,3397.110825,3521.312584,208.2042065,2502.894085,1859.416968,491.5961013,1966.108254,6598.013956,594.4898852,6311.813379,4876.376656,665.1132871,2302.107537,3976.945485,438.4683847,4172.14601,8510.87148,519.2146052,4050.609201,7412.365351,413.4740806,4928.005142,7374.270003,538.1538553,3501.434012,8937.364877,777.8282504,3694.478294,7193.940929,511.7227251,5210.571068,9565.498701,3645.805137,3281.489308,5581.497214
2-oxobutanoate,C4H6O3,Amino acid,HMDB0000005,C18,Positive,1826.973239,9445.437351,16443.30309,2311.355031,8007.358731,11973.27148,2203.16592,8844.361088,10513.22998,1618.32675,7813.052938,15455.949,2000.518528,7961.712515,11577.51377,1488.224727,8077.924747,11574.31404,2501.673939,11666.84102,14642.91813,1924.35129,8694.223742,12814.37269,1001.795038,5158.357927,8500.719407,1006.182972,6558.191686,13643.8391,1959.012031,8934.703995,9635.062043,1286.857442,6955.92232,13456.04142,2432.716321,6683.181026,11287.12322,1289.666418,8088.864437,9785.582046,1532.321145,6973.066677,12080.61865,788.8821571,7237.948254,7665.038137,7919.577532,8084.37986,7660.41389
Dethiobiotin,C10H18N2O3,Lipids,HMDB0003581,C18,Positive,5060.012795,40072.1832,70021.94523,2134.71563,31031.7689,69694.15558,4313.734697,31659.90107,59712.50973,2032.736486,21091.71977,72814.50933,2643.511761,24766.66578,66488.33395,2840.496907,19534.96649,64950.95101,3248.362337,25286.58926,48415.7308,2530.040459,23955.57577,66639.05104,2026.673331,19986.16927,54083.77473,2773.476745,39122.86769,60687.3523,2012.671664,27042.28996,53125.49286,1949.501745,34187.81016,60014.91737,1838.637225,26592.59052,62693.77533,2910.337964,26061.48383,66548.1902,2625.837307,27998.35791,52348.98408,2513.130654,38981.14945,57857.95925,31254.59428,30169.79026,34852.94103
"17,21-Dihydroxy-17alpha-pregn-4-ene-3,20-dione",C21H30O4,Lipids,NA,C18,Positive,84305.92266,96316.93066,108049.0247,124227.5905,119151.9123,80428.20454,91226.52566,111606.0437,8238.5161,1448.45088,114738.25,107580.2627,97722.21848,87501.76592,92072.45201,74341.5272,93329.15824,9359.643292,91260.61856,106622.3516,76411.37978,79970.04901,73550.7375,92045.75297,73830.33909,112730.5766,99728.44662,107056.3049,1825.484376,1734.219205,99131.6753,101069.7798,5041.051345,86840.52878,72876.73768,75567.95326,111392.6373,105246.5414,69004.5118,76593.94293,85427.43204,72695.57836,70933.60479,98143.42695,86401.84928,94337.6169,117972.3657,76459.18093,86050.44045,84573.64606,85766.75449
Sphinganine,C18H39NO2,Amines,HMDB0000269,C18,Positive,1776.6165,2441.145,5304.7955,903.9775,4802.9645,5523.2265,315.6076678,4463.2485,8821.8455,7825.505,7706.069,10359.096,1099.071535,711.915,5051.840866,779.2354672,2556.0725,5283.702606,278.1986216,3018.6535,5740.343,1229.004,2454.4505,5901.885734,1537.269921,10449.662,24167.907,11577.9715,31392.55686,31381.47784,7883.8155,37189.64496,46304.76206,3482.69,16764.02901,26638.0094,4020.785292,22354.55319,51956.405,9124.9155,23958.78236,40365.62188,1731.114019,25494.1315,28909.12805,4900.7185,25884.85341,33568.56485,14852.24433,16274.57504,13478.693
1-Naphthylamine,C10H9N,Benenoids,HMDB0243964,C18,Positive,13644.11766,130696.7139,230070.6762,11568.10189,132886.9072,228153.4146,17526.55244,141098.3528,232364.5071,16867.87543,89313.75167,213822.7984,13493.3878,125672.5321,234046.178,13999.42154,112900.5056,202773.467,20525.864,144067.5684,218288.178,17255.48154,131580.6915,274297.3232,27376.60992,219372.9226,384146.4815,32729.61096,210768.272,336800.6052,24678.28496,179864.3638,339065.7742,28592.50933,222878.2118,378095.9641,27840.84881,218344.4943,347003.3984,26730.44709,192547.4981,339087.6947,22370.26187,213319.9104,375044.2206,30644.07094,209560.1727,391967.5403,174158.274,177882.3678,179676.8246
Oleoyl glycerol,C21H40O4,Lipids,HMDB0094684,C18,Positive,302359.1157,1860342.678,2445593.468,162653.4756,2133387.188,2198559.022,149112.9286,1590775.041,3084811.911,182238.6794,1666571.824,4328006.93,190032.8444,1266300.318,2182313.441,343581.5037,943708.8298,2077666.781,150150.3647,1077906.842,2095108.131,228494.2567,1377180.715,1515398.598,146219.92,447647.7162,506406.8295,72758.67877,511464.0535,450894.4253,53612.99538,415952.5479,534275.3705,41475.23563,388898.6917,527417.2867,79998.42163,444236.1614,522984.6968,77325.88139,391433.002,556775.3876,77187.91552,387224.9569,524008.4008,58018.53228,427497.7183,509051.0721,998431.6358,1083319.91,1030809.07
6-phosphoglucono-D-lactone,C6H11O9P,Nucleotide,HMDB0001127,C18,Negative,27971.09589,27050.64906,47646.0986,30413.85147,59301.11531,82860.67955,41111.74404,61786.66781,88722.28164,26923.25167,87414.2143,113762.853,37257.71455,52027.88005,67117.28609,44975.79463,60086.41582,91523.95771,27381.2043,46998.20654,66762.11104,20901.80199,51520.79701,66510.19901,13788.19562,11775.70108,25359.47989,21536.8377,28540.31393,29498.80745,14345.15634,27269.34579,47969.89943,29679.78055,39961.28994,45721.17743,24734.8478,34280.78876,59148.23741,24861.16389,18491.44015,35233.4031,19396.52388,21703.78246,30845.30853,21503.91136,22911.35666,22952.06359,43518.8839,42897.42858,41684.64421
D-Ribose 5-phosphate,C5H11O8P,Glycolysis,HMDB0001548,C18,Negative,259356.194,215387.5932,193123.7746,201278.688,187658.7359,140680.1029,177941.0585,171203.8643,159561.6723,172976.2462,212586.8004,144401.5428,267734.0159,193226.3614,162991.8612,391911.2295,226449.4472,160426.5207,176568.0963,191407.9056,164632.6083,210177.2534,211068.4765,197687.549,173401.1978,141117.9076,132509.9816,145209.5669,133306.3787,106407.7496,124174.8513,132117.8603,114350.083,154321.4084,123533.5661,98969.32474,139152.047,110509.6727,132943.8152,150334.3567,133422.0735,108857.1447,145366.9033,131677.633,125106.1162,171796.4822,139986.8704,135825.2351,154960.1886,160576.347,144518.4349
seduheptulose,C7H14O7,sugar,HMDB0003219,C18,Negative,19773.03048,54211.77647,86344.23979,17336.39027,31822.35111,82436.46872,13052.17381,65635.87244,85690.29202,13264.63476,50008.23811,88330.1228,17421.98903,55427.36588,79450.9478,12941.63653,50291.57098,77246.06891,12488.46101,45808.0757,54587.5491,11320.8782,55472.11643,92390.95172,3012.03621,31177.48329,54384.90524,5858.951227,37128.25048,56873.29145,8638.865136,35786.32249,45066.33235,8125.866883,41749.96859,57458.48709,7816.38463,35625.13831,52592.83166,9760.80582,35484.25969,60403.2693,9607.596097,34585.00231,48235.47534,4083.330622,42353.98481,51746.94741,48470.16494,41509.18393,44627.59617
glucose,C6H12O6,Glycolysis,HMDB00122,C18,Negative,1613675.841,3831439.332,6526941.035,1046901.368,3729614.538,5787472.846,979341.819,4290172.601,6627680.231,1241040.846,3225164.089,6172907.466,1429386.24,3537398.968,5813890.01,1123228.543,3003228.287,5079799.159,843017.2962,3217330.108,3962693.188,1083689.596,3792090.147,7418288.675,803241.496,1997570.632,3663645.771,637926.3803,2431829.655,3665130.263,650156.2928,2312388.236,3300343.095,661102.4681,2537875.119,3918574.278,776622.2656,2412083.956,3500549.053,648100.3765,2213411.914,3852674.551,733323.9321,2547666.472,3456834.789,598170.0062,2369002.83,3557411.167,2926069.097,2857305.228,2960726.937
fructose 6 phosphate,C6H13O9P,Glycolysis,HMDB0000124,C18,Negative,1521794.834,401478.3277,1242716.826,1741373.17,990005.4533,1888119.202,2294285.495,1195461.422,2110332.371,1619078.722,890601.6956,2686961.839,2137157.109,724967.119,1934773.519,2347796.712,685431.4824,1892440.108,1473372.624,708633.1926,1832308.324,1194351.824,692198.5648,1800785.11,733334.1818,175445.4537,572118.1126,1074101.666,447132.4067,707564.2133,881992.6099,446316.8622,1041673.831,1565297.09,667020.885,1232983.299,1291275.389,565841.5823,1234307.227,1270216.075,316875.1795,824945.9017,1021661.936,362657.0557,642275.331,1103687.009,368393.2271,654741.8717,689116.1549,709145.6045,661842.53
"fructose 1, 6 phosphate",C6H14O12P2,Glycolysis,HMDB0001058,C18,Negative,39980.14715,32523.35089,49347.66521,77382.02424,25135.82445,41369.16845,102937.5089,60599.28415,62530.39826,41295.86568,34126.7546,52044.18615,56872.59608,29461.78935,60216.9326,98910.07027,21042.77598,45734.29328,75299.26865,32157.23256,57033.71146,59210.18931,34686.65024,70661.28579,23384.61596,17540.2387,80358.29607,56276.70496,46637.97358,66687.69826,25039.61015,28034.4796,69878.79609,116605.8624,32726.25203,77808.56873,31124.95669,31817.5289,72651.6587,174599.5173,43264.08179,76613.23797,145307.676,33860.04232,56162.83563,103094.8759,48338.81097,73336.16496,31396.0128,28797.44043,29777.94781
Oxaloacetate,C4H4O5,Energy,HMDB0000223,C18,Negative,2844.702509,13723.65666,28164.27358,4047.544477,12835.79308,26895.72569,3371.038862,19094.37349,20853.02237,3641.426551,12193.73253,24937.02734,4057.199354,15931.20832,21246.10133,4081.264174,14863.26843,23928.50442,2595.563928,16795.20767,24437.66196,2872.888486,15258.57457,23180.75957,2008.578064,18223.8814,28932.29888,3023.483792,17215.09107,25828.084,2976.862849,16633.40688,24627.6883,3931.798004,16739.62529,28308.07801,4023.404517,14490.3414,19736.06196,2650.309448,13705.06034,21138.83066,3146.096885,15921.44839,23686.47074,3279.533439,14102.07496,19631.81841,16334.19923,15339.77569,18299.35914
Citric acid (Citrate),C6H8O7,Energy,HMDB0000094,C18,Negative,742353.6984,4198218.419,7085532.065,1005254.041,4167887.541,6455760.24,1042814.903,4340447.296,5919493.922,943067.1918,3275748.418,6480136.74,1078223.233,4557003.753,5857823.886,1134167.404,4146320.922,5941801.633,947030.6692,4196216.421,5686808.931,890505.0939,3731189.137,5841102.389,867440.8568,4416990.589,7614587.509,1173621.521,4549746.848,6153700.896,1068805.337,4409032.149,5731711.321,1049381.644,4515310.557,6471974.062,1270873.585,3954480.438,5260992.155,862386.7186,3617922.458,5374549.013,1035599.657,4825904.301,5674121.498,836720.5477,3811472.344,5353033.995,4095789.908,4176020.315,4297506.843
cis-Aconitic acid,C6H6O6,Energy,HMDB0000072,C18,Negative,131529.0002,414694.8286,706798.4325,115552.6511,488800.2693,711054.1015,100231.9471,462517.218,650410.8893,104240.8047,442007.032,809423.5317,122114.6299,450632.2359,634639.5503,105157.5972,413480.8694,680911.921,115359.3731,389715.4274,557255.3964,102758.7285,407946.609,712365.2498,37536.01351,237245.9798,421837.2159,55537.08107,249912.1556,387728.8555,56088.28156,255943.6278,362283.2769,61191.20561,259737.5378,374478.7164,63037.31856,226222.0679,368852.5887,50987.92821,224119.8703,337170.7127,60051.30196,266402.6111,350546.6329,41450.01198,234214.2689,324941.6682,343982.2802,342240.2931,345938.1867
Succinic acid,C4H6O4,Energy,HMDB0000254,C18,Negative,28800.63873,133970.8792,271606.8901,42642.41247,202563.1958,337902.901,34464.32231,196479.878,350464.0104,31703.54971,188168.0141,339855.639,32149.34588,178071.0704,210263.6805,34209.65645,201311.5339,251782.0505,34155.67495,207997.1002,236530.2878,20086.15779,125490.82,270875.8631,18659.51517,106316.0907,199261.7887,33743.46411,161850.7815,265674.1343,23837.09043,190790.9481,297471.1003,52404.57494,225089.8933,347997.2436,33307.89066,184097.1162,378560.6762,38292.02631,142329.9503,248276.0305,31913.44387,161321.4407,262423.892,29881.66433,186849.7114,249802.3926,172606.8381,163545.6382,168370.3148
